,location,time,fertility_rate,life_expectancy,pop_mlns
0,AUS,1960,3.5,70.9,10.275
1,AUS,1961,3.5,71.2,10.5082
2,AUS,1962,3.4,71.0,10.7005
3,AUS,1963,3.3,71.1,10.9069
4,AUS,1964,3.2,70.7,11.1216
5,AUS,1965,3.0,71.0,11.3409
6,AUS,1966,2.9,70.8,11.5995
7,AUS,1967,2.8,71.2,11.79908
8,AUS,1968,2.9,70.9,12.00863
9,AUS,1969,2.9,71.1,12.26301
10,AUS,1970,2.9,70.8,12.50735
11,AUS,1971,2.9,71.6,13.06726
12,AUS,1972,2.7,72.0,13.30366
13,AUS,1973,2.5,72.1,13.50454
14,AUS,1974,2.3,71.9,13.72257
15,AUS,1975,2.1,72.7,13.893
16,AUS,1976,2.1,72.8,14.03308
17,AUS,1977,2.0,73.4,14.19223
18,AUS,1978,1.9,73.7,14.35925
19,AUS,1979,1.9,74.3,14.51573
20,AUS,1980,1.9,74.6,14.69536
21,AUS,1981,1.9,74.9,14.92326
22,AUS,1982,1.9,74.7,15.18425
23,AUS,1983,1.9,75.5,15.39347
24,AUS,1984,1.8,75.8,15.57939
25,AUS,1985,1.9,75.6,15.78831
26,AUS,1986,1.9,76.1,16.01835
27,AUS,1987,1.8,76.3,16.26387
28,AUS,1988,1.8,76.3,16.53216
29,AUS,1989,1.8,76.5,16.81442
30,AUS,1990,1.9,77.0,17.06513
31,AUS,1991,1.8,77.4,17.28404
32,AUS,1992,1.9,77.5,17.479
33,AUS,1993,1.9,78.0,17.635
34,AUS,1994,1.8,78.0,17.805
35,AUS,1995,1.8,77.9,18.005
36,AUS,1996,1.8,78.2,18.225
37,AUS,1997,1.8,78.5,18.423
38,AUS,1998,1.8,78.7,18.608
39,AUS,1999,1.8,79.0,18.812
40,AUS,2000,1.8,79.3,19.029
41,AUS,2001,1.7,79.7,19.275
42,AUS,2002,1.8,80.0,19.495
43,AUS,2003,1.8,80.3,19.721
44,AUS,2004,1.8,80.6,19.933
45,AUS,2005,1.8,80.9,20.177
46,AUS,2006,1.9,81.1,20.451
47,AUS,2007,2.0,81.4,20.828
48,AUS,2008,2.0,81.5,21.249
49,AUS,2009,2.0,81.6,21.692
50,AUS,2010,2.0,81.8,22.032
51,AUS,2011,1.9,82.0,22.34
52,AUS,2012,1.9,82.1,22.728
53,AUS,2013,1.9,82.2,23.126
54,AUS,2014,1.8,82.4,23.491
55,AUT,1960,2.7,68.7,7.04754
56,AUT,1961,2.8,69.7,7.0863
57,AUT,1962,2.8,69.4,7.12986
58,AUT,1963,2.8,69.6,7.17581
59,AUT,1964,2.8,70.0,7.2238
60,AUT,1965,2.7,69.8,7.27089
61,AUT,1966,2.7,70.2,7.32207
62,AUT,1967,2.6,70.0,7.377
63,AUT,1968,2.6,70.2,7.4154
64,AUT,1969,2.5,69.9,7.44106
65,AUT,1970,2.3,70.0,7.46709
66,AUT,1971,2.2,70.2,7.50048
67,AUT,1972,2.1,70.6,7.5442
68,AUT,1973,1.9,71.1,7.58611
69,AUT,1974,1.9,71.1,7.59904
70,AUT,1975,1.8,71.2,7.5789
71,AUT,1976,1.7,71.7,7.56552
72,AUT,1977,1.6,72.0,7.56843
